memory,compute,startup_time,load,throughput,latency
4,10,38128.66,1,0.552,1811.183
4,10,38128.66,2,0.735,2718.471
4,10,38128.66,4,0.865,4620.449
4,10,38128.66,8,0.97,8239.126
4,10,38128.66,16,1.014,15762.392
4,10,38128.66,32,1.037,30818.144
4,10,38128.66,64,0.974,48978.924
4,10,38128.66,128,0.961,83194.988
4,20,36762.633,1,0.709,1409.806
4,20,36762.633,2,0.989,2020.963
4,20,36762.633,4,1.24,3220.306
4,20,36762.633,8,1.444,5529.228
4,20,36762.633,16,1.577,10054.211
4,20,36762.633,32,1.574,20286.965
4,20,36762.633,64,1.542,30928.42
4,20,36762.633,128,1.527,52313.825
4,40,36073.058,1,0.763,1310.197
4,40,36073.058,2,1.241,1610.126
4,40,36073.058,4,1.588,2514.559
4,40,36073.058,8,1.936,4123.42
4,40,36073.058,16,2.009,7948.31
4,40,36073.058,32,2.24,14211.264
4,40,36073.058,64,2.127,22378.061
4,40,36073.058,128,1.757,43313.361
4,60,38647.361,1,0.763,1310.609
4,60,38647.361,2,0.793,2519.872
4,60,38647.361,4,0.925,4320.708
4,60,38647.361,8,0.924,8644.563
4,60,38647.361,16,0.972,16366.359
4,60,38647.361,32,1.166,27402.984
4,60,38647.361,64,1.372,35408.401
4,60,38647.361,128,1.229,62764.376
4,80,41549.788,1,0.762,1310.846
4,80,41549.788,2,1.103,1810.935
4,80,41549.788,4,1.527,2614.985
4,80,41549.788,8,1.619,4930.802
4,80,41549.788,16,1.805,8842.855
4,80,41549.788,32,1.162,27505.62
4,80,41549.788,64,1.556,30249.019
4,80,41549.788,128,1.342,59565.033
4,100,40223.23,1,0.763,1310.64
4,100,40223.23,2,0.903,2213.097
4,100,40223.23,4,1.073,3718.645
4,100,40223.23,8,1.205,6629.896
4,100,40223.23,16,1.273,12552.17
4,100,40223.23,32,1.332,23967.647
4,100,40223.23,64,1.402,34426.431
4,100,40223.23,128,1.387,55444.112
6,10,36505.061,1,0.549,1820.391
6,10,36505.061,2,0.735,2716.888
6,10,36505.061,4,0.864,4625.426
6,10,36505.061,8,0.947,8433.915
6,10,36505.061,16,0.971,16458.099
6,10,36505.061,32,0.965,33123.23
6,10,36505.061,64,0.964,49731.65
6,10,36505.061,128,0.96,83180.534
6,20,37106.317,1,0.661,1510.958
6,20,37106.317,2,1.043,1915.039
6,20,37106.317,4,1.242,3215.437
6,20,37106.317,8,1.443,5533.893
6,20,37106.317,16,1.542,10355.342
6,20,37106.317,32,1.531,20847.446
6,20,37106.317,64,1.52,31439.06
6,20,37106.317,128,1.524,52588.607
6,40,37317.171,1,0.827,1208.745
6,40,37317.171,2,1.167,1711.535
6,40,37317.171,4,1.651,2417.793
6,40,37317.171,8,2.032,3929.761
6,40,37317.171,16,2.233,7145.989
6,40,37317.171,32,2.332,13688.496
6,40,37317.171,64,2.272,20992.425
6,40,37317.171,128,2.298,35118.041
6,60,42271.173,1,0.763,1310.647
6,60,42271.173,2,1.103,1810.799
6,60,42271.173,4,1.419,2815.266
6,60,42271.173,8,1.558,5124.712
6,60,42271.173,16,1.745,9151.567
6,60,42271.173,32,1.738,18354.835
6,60,42271.173,64,1.494,31151.257
6,60,42271.173,128,1.515,52761.446
6,80,40584.555,1,0.708,1410.695
6,80,40584.555,2,0.992,2013.321
6,80,40584.555,4,1.324,3016.864
6,80,40584.555,8,1.498,5329.854
6,80,40584.555,16,1.672,9551.252
6,80,40584.555,32,1.683,18972.342
6,80,40584.555,64,1.099,39284.401
6,80,40584.555,128,1.6,49919.372
6,100,42279.791,1,0.709,1409.15
