memory,compute,startup_time,load,throughput,latency
2,20,37405.42,1,1.828,546.124
2,20,37405.42,5,1.008,4880.965
2,20,37405.42,20,0.537,37067.255
2,40,34634.357,1,1.991,501.543
2,40,34634.357,5,1.031,4805.592
2,40,34634.357,20,0.529,37594.796
2,60,35521.058,1,2.419,412.559
2,60,35521.058,5,1.042,4781.892
2,60,35521.058,20,0.569,34865.332
2,80,33949.197,1,2.396,416.59
2,80,33949.197,5,1.053,4674.46
2,80,33949.197,20,0.568,35036.848
2,100,34937.375,1,2.377,419.142
2,100,34937.375,5,1.003,4940.75
2,100,34937.375,20,0.519,38352.376
4,20,39701.046,1,2.463,405.098
4,20,39701.046,5,1.028,4843.537
4,20,39701.046,20,0.517,38483.17
4,40,34895.192,1,2.371,420.933
4,40,34895.192,5,0.991,5005.165
4,40,34895.192,20,0.517,38416.08
4,60,33709.78,1,2.51,397.657
4,60,33709.78,5,1.024,4855.037
4,60,33709.78,20,0.547,36315.828
4,80,33491.222,1,2.423,411.87
4,80,33491.222,5,0.989,5009.699
4,80,33491.222,20,0.544,36555.243
4,100,35066.969,1,2.342,424.584
4,100,35066.969,5,0.964,5135.443
4,100,35066.969,20,0.521,38222.425
6,20,34781.482,1,2.274,439.023
6,20,34781.482,5,1.073,4629.698
6,20,34781.482,20,0.641,30953.852
6,40,35247.069,1,1.922,519.36
6,40,35247.069,5,0.959,5185.414
6,40,35247.069,20,0.5,39779.071
6,60,35415.447,1,2.413,413.681
6,60,35415.447,5,0.989,5034.143
6,60,35415.447,20,0.54,36739.432
6,80,34762.041,1,1.873,533.037
6,80,34762.041,5,0.987,5019.572
6,80,34762.041,20,0.555,35813.752
6,100,35064.745,1,2.405,415.084
6,100,35064.745,5,0.983,5052.747
6,100,35064.745,20,0.52,38188.88
8,20,33983.629,1,2.465,405.026
8,20,33983.629,5,0.944,5244.581
8,20,33983.629,20,0.502,39644.413
8,40,35193.169,1,2.496,399.871
8,40,35193.169,5,1.026,4824.222
8,40,35193.169,20,0.521,38112.429
8,60,35175.209,1,2.39,417.604
8,60,35175.209,5,1.02,4862.455
8,60,35175.209,20,0.513,38768.319
8,80,35239.919,1,1.943,513.976
8,80,35239.919,5,0.998,4972.066
8,80,35239.919,20,0.642,30662.789
8,100,36113.274,1,2.043,488.716
8,100,36113.274,5,1.126,4420.028
8,100,36113.274,20,0.682,29074.651
10,20,39274.768,1,1.045,956.393
10,20,39274.768,5,1.154,4305.548
10,20,39274.768,20,0.588,33730.996
10,40,39406.593,1,1.649,605.547
10,40,39406.593,5,1.089,4540.204
10,40,39406.593,20,0.733,26895.293
10,60,42458.693,1,1.83,545.649
10,60,42458.693,5,1.054,4606.494
10,60,42458.693,20,0.588,33740.502
10,80,38533.411,1,2.025,492.986
10,80,38533.411,5,0.959,5147.24
10,80,38533.411,20,0.558,35617.018
10,100,38733.408,1,1.422,702.587
10,100,38733.408,5,0.966,5129.306
10,100,38733.408,20,0.538,37024.675
12,20,37467.77,1,2.218,450.154
12,20,37467.77,5,1.021,4857.335
12,20,37467.77,20,0.518,38465.272
12,40,37467.252,1,2.353,424.311
12,40,37467.252,5,0.998,4978.26
12,40,37467.252,20,0.539,36927.463
12,60,36775.528,1,1.832,545.233
12,60,36775.528,5,0.981,5054.333
12,60,36775.528,20,0.503,39582.59
12,80,42377.791,1,1.95,512.146
12,80,42377.791,5,1.017,4875.114
12,80,42377.791,20,0.545,36534.015
12,100,44809.676,1,1.904,524.496
12,100,44809.676,5,1.007,4915.763
12,100,44809.676,20,0.557,35609.892
14,20,35803.25,1,2.381,419.084
14,20,35803.25,5,0.989,5018.217
14,20,35803.25,20,0.525,37891.521
14,40,36728.757,1,2.362,422.677
14,40,36728.757,5,1.021,4867.165
14,40,36728.757,20,0.503,39632.76
14,60,35890.508,1,2.119,471.177
14,60,35890.508,5,0.953,5208.918
14,60,35890.508,20,0.549,36086.001
14,80,37434.126,1,2.405,415.062
14,80,37434.126,5,0.981,5064.913
14,80,37434.126,20,0.524,37947.38
14,100,35246.578,1,2.35,424.821
14,100,35246.578,5,0.95,5190.496
14,100,35246.578,20,0.556,35766.969
