memory,compute,startup_time,load,throughput,latency
2,20,35599.166,1,1.991,501.21
2,20,35599.166,5,0.823,6046.056
2,20,35599.166,20,0.474,41946.476
2,40,35308.069,1,2.001,498.931
2,40,35308.069,5,0.784,6356.201
2,40,35308.069,20,0.462,42957.1
2,60,35063.5,1,2.041,489.174
2,60,35063.5,5,0.837,5948.641
2,60,35063.5,20,0.448,44454.87
2,80,33921.421,1,1.872,533.386
2,80,33921.421,5,0.851,5846.082
2,80,33921.421,20,0.477,41726.326
2,100,34721.805,1,1.941,512.636
2,100,34721.805,5,0.839,5906.003
2,100,34721.805,20,0.452,44023.926
4,20,35898.236,1,1.871,533.597
4,20,35898.236,5,0.822,6042.404
4,20,35898.236,20,0.439,45365.77
4,40,35516.21,1,1.937,515.435
4,40,35516.21,5,0.816,6097.241
4,40,35516.21,20,0.467,42588.234
4,60,34732.721,1,1.932,516.757
4,60,34732.721,5,0.791,6261.947
4,60,34732.721,20,0.446,44669.05
4,80,35345.397,1,1.603,623.225
4,80,35345.397,5,0.991,4962.8
4,80,35345.397,20,0.405,49232.139
4,100,34698.323,1,1.78,561.139
4,100,34698.323,5,0.835,5903.658
4,100,34698.323,20,0.448,44429.821
6,20,36879.375,1,1.51,661.422
6,20,36879.375,5,0.839,5934.098
6,20,36879.375,20,0.455,43739.256
6,40,35459.07,1,2.028,492.338
6,40,35459.07,5,0.803,6181.758
6,40,35459.07,20,0.416,47841.666
6,60,34909.597,1,1.999,499.467
6,60,34909.597,5,0.853,5822.386
6,60,34909.597,20,0.47,42352.669
6,80,35767.342,1,2.041,489.111
6,80,35767.342,5,0.846,5871.329
6,80,35767.342,20,0.45,44153.189
6,100,36124.85,1,1.469,679.909
6,100,36124.85,5,0.79,6260.182
6,100,36124.85,20,0.459,43334.646
8,20,36132.435,1,1.52,657.25
8,20,36132.435,5,0.799,6221.656
8,20,36132.435,20,0.419,47433.468
8,40,36935.928,1,1.992,501.269
8,40,36935.928,5,0.81,6120.739
8,40,36935.928,20,0.45,44200.743
8,60,34812.363,1,2.036,490.309
8,60,34812.363,5,0.848,5875.487
8,60,34812.363,20,0.466,42735.286
8,80,35846.21,1,1.483,673.642
8,80,35846.21,5,0.801,6210.385
8,80,35846.21,20,0.408,48840.311
8,100,36227.368,1,1.413,706.815
8,100,36227.368,5,0.814,6095.265
8,100,36227.368,20,0.413,48202.037
10,20,37202.13,1,1.418,704.587
10,20,37202.13,5,0.828,5994.478
10,20,37202.13,20,0.398,49968.779
10,40,36919.934,1,1.369,729.861
10,40,36919.934,5,0.795,6234.044
10,40,36919.934,20,0.44,45161.979
10,60,36790.03,1,1.931,517.025
10,60,36790.03,5,0.829,5960.182
10,60,36790.03,20,0.417,47723.349
10,80,36128.688,1,2.018,494.74
10,80,36128.688,5,0.828,5985.618
10,80,36128.688,20,0.449,44237.618
10,100,36922.679,1,1.574,634.446
10,100,36922.679,5,0.763,6503.541
10,100,36922.679,20,0.435,45744.033
12,20,37935.85,1,1.255,796.37
12,20,37935.85,5,0.819,6052.646
12,20,37935.85,20,0.43,46369.5
12,40,40211.721,1,1.713,582.905
12,40,40211.721,5,0.814,6088.161
12,40,40211.721,20,0.431,46141.524
12,60,35690.009,1,1.287,776.229
12,60,35690.009,5,0.805,6169.725
12,60,35690.009,20,0.431,46034.9
12,80,37909.342,1,1.636,610.613
12,80,37909.342,5,0.832,5966.055
12,80,37909.342,20,0.405,49203.018
12,100,37077.448,1,1.606,621.853
12,100,37077.448,5,0.804,6163.503
12,100,37077.448,20,0.439,45358.223
14,20,36901.106,1,1.725,578.901
14,20,36901.106,5,0.717,6922.196
14,20,36901.106,20,0.415,47913.618
14,40,38731.871,1,1.856,537.962
14,40,38731.871,5,0.831,5979.115
14,40,38731.871,20,0.412,48287.228
14,60,39827.872,1,1.494,668.36
14,60,39827.872,5,0.823,6029.938
14,60,39827.872,20,0.424,46965.543
14,80,37510.68,1,1.825,547.128
14,80,37510.68,5,0.783,6324.718
14,80,37510.68,20,0.435,45787.17
14,100,38349.421,1,1.807,552.658
14,100,38349.421,5,0.815,6087.248
14,100,38349.421,20,0.433,45951.027
