memory,compute,startup_time,load,throughput,latency
2,10,34790.502,1,1.974,505.641
2,10,34790.502,2,2.564,778.038
2,10,34790.502,3,2.455,1203.934
2,10,34790.502,4,2.085,1877.963
2,10,34790.502,5,0.841,5898.775
2,10,34790.502,6,0.801,7391.642
2,10,34790.502,7,0.78,8886.896
2,10,34790.502,8,0.733,10774.286
2,10,34790.502,9,0.766,11587.441
2,10,34790.502,10,0.761,13022.058
2,20,34228.429,1,1.988,502.101
2,20,34228.429,2,2.507,796.005
2,20,34228.429,3,2.573,1159.819
2,20,34228.429,4,2.449,1621.943
2,20,34228.429,5,0.84,5926.366
2,20,34228.429,6,0.818,7184.029
2,20,34228.429,7,0.715,9729.209
2,20,34228.429,8,0.8,9928.151
2,20,34228.429,9,0.782,11356.889
2,20,34228.429,10,0.766,12898.715
2,40,35148.703,1,2.054,486.031
2,40,35148.703,2,2.003,993.025
2,40,35148.703,3,2.63,1120.571
2,40,35148.703,4,2.365,1647.305
2,40,35148.703,5,0.863,5748.975
2,40,35148.703,6,0.786,7536.087
2,40,35148.703,7,0.755,9180.818
2,40,35148.703,8,0.723,10949.156
2,40,35148.703,9,0.76,11747.809
2,40,35148.703,10,0.732,13477.725
2,60,35163.47,1,1.977,504.951
2,60,35163.47,2,2.42,824.832
2,60,35163.47,3,2.643,1128.03
2,60,35163.47,4,2.488,1598.788
2,60,35163.47,5,0.831,5984.002
2,60,35163.47,6,0.776,7636.971
2,60,35163.47,7,0.777,8913.492
2,60,35163.47,8,0.758,10442.832
2,60,35163.47,9,0.772,11420.434
2,60,35163.47,10,0.747,13117.377
2,80,35239.75,1,2.015,495.531
2,80,35239.75,2,2.458,811.98
2,80,35239.75,3,2.439,1172.107
2,80,35239.75,4,2.434,1610.651
2,80,35239.75,5,0.817,6081.789
2,80,35239.75,6,0.813,7338.426
2,80,35239.75,7,0.79,8794.401
2,80,35239.75,8,0.76,10407.957
2,80,35239.75,9,0.771,11538.111
2,80,35239.75,10,0.79,12510.266
2,100,34063.285,1,1.998,499.651
2,100,34063.285,2,2.469,806.442
2,100,34063.285,3,2.568,1161.585
2,100,34063.285,4,1.905,2083.64
2,100,34063.285,5,0.844,5865.072
2,100,34063.285,6,0.816,7276.32
2,100,34063.285,7,0.738,9368.42
2,100,34063.285,8,0.734,10785.275
2,100,34063.285,9,0.76,11696.132
2,100,34063.285,10,0.76,12991.021
4,10,34345.344,1,1.6,623.279
4,10,34345.344,2,2.477,805.541
4,10,34345.344,3,2.661,1115.809
4,10,34345.344,4,2.365,1593.249
4,10,34345.344,5,0.838,5888.408
4,10,34345.344,6,0.806,7382.02
4,10,34345.344,7,0.801,8640.431
4,10,34345.344,8,0.777,10170.579
4,10,34345.344,9,0.763,11631.55
4,10,34345.344,10,0.779,12650.762
4,20,35171.619,1,1.988,502.354
4,20,35171.619,2,2.506,796.326
4,20,35171.619,3,2.44,1168.176
4,20,35171.619,4,2.309,1653.563
4,20,35171.619,5,0.846,5861.412
4,20,35171.619,6,0.795,7484.85
4,20,35171.619,7,0.789,8807.373
4,20,35171.619,8,0.773,10171.233
4,20,35171.619,9,0.755,11782.077
4,20,35171.619,10,0.754,13077.001
4,40,35374.954,1,1.987,502.544
4,40,35374.954,2,2.516,793.286
4,40,35374.954,3,2.491,1162.038
4,40,35374.954,4,2.503,1587.161
4,40,35374.954,5,0.845,5838.505
4,40,35374.954,6,0.809,7328.641
4,40,35374.954,7,0.798,8678.339
4,40,35374.954,8,0.789,10068.047
4,40,35374.954,9,0.775,11461.225
4,40,35374.954,10,0.775,12751.946
4,60,35366.913,1,2.02,494.26
4,60,35366.913,2,2.528,789.046
4,60,35366.913,3,2.661,1118.669
4,60,35366.913,4,2.33,1672.828
4,60,35366.913,5,0.837,5900.998
4,60,35366.913,6,0.793,7489.023
4,60,35366.913,7,0.787,8791.839
4,60,35366.913,8,0.781,10081.996
4,60,35366.913,9,0.761,11601.55
4,60,35366.913,10,0.757,12921.964
4,80,34756.771,1,1.853,538.955
4,80,34756.771,2,2.529,789.252
4,80,34756.771,3,2.445,1170.764
4,80,34756.771,4,2.4,1584.434
4,80,34756.771,5,0.846,5863.552
4,80,34756.771,6,0.795,7468.338
4,80,34756.771,7,0.799,8668.375
4,80,34756.771,8,0.774,10192.876
4,80,34756.771,9,0.791,11252.378
4,80,34756.771,10,0.768,12726.864
4,100,34340.843,1,2.04,489.449
4,100,34340.843,2,2.542,785.089
4,100,34340.843,3,2.484,1200.491
4,100,34340.843,4,2.433,1605.678
4,100,34340.843,5,0.901,5488.511
4,100,34340.843,6,0.792,7508.203
4,100,34340.843,7,0.794,8746.216
4,100,34340.843,8,0.788,10019.543
4,100,34340.843,9,0.775,11455.779
4,100,34340.843,10,0.78,12708.876
6,10,35506.075,1,2.043,488.767
6,10,35506.075,2,2.223,853.47
6,10,35506.075,3,2.624,1125.023
6,10,35506.075,4,2.446,1622.878
6,10,35506.075,5,0.861,5774.883
6,10,35506.075,6,0.768,7711.839
6,10,35506.075,7,0.789,8768.655
6,10,35506.075,8,0.78,10119.826
6,10,35506.075,9,0.806,11055.636
6,10,35506.075,10,0.765,12913.589
6,20,37267.234,1,2.031,491.612
6,20,37267.234,2,1.974,1010.548
6,20,37267.234,3,2.61,1141.783
6,20,37267.234,4,2.248,1768.777
6,20,37267.234,5,0.839,5924.992
6,20,37267.234,6,0.812,7321.825
6,20,37267.234,7,0.792,8779.041
6,20,37267.234,8,0.776,10234.539
6,20,37267.234,9,0.798,11155.857
6,20,37267.234,10,0.771,12754.523
6,40,35332.675,1,1.995,500.543
6,40,35332.675,2,2.232,843.744
6,40,35332.675,3,2.651,1122.048
6,40,35332.675,4,2.472,1603.718
6,40,35332.675,5,0.849,5862.36
6,40,35332.675,6,0.804,7381.968
6,40,35332.675,7,0.783,8838.029
6,40,35332.675,8,0.792,9995.576
6,40,35332.675,9,0.783,11327.13
6,40,35332.675,10,0.754,13104.449
6,60,34496.894,1,1.932,516.863
6,60,34496.894,2,2.451,809.147
6,60,34496.894,3,2.593,1143.619
6,60,34496.894,4,2.433,1608.568
6,60,34496.894,5,0.841,5908.569
