memory,compute,startup_time,load,throughput,latency
4,10,39419.317,1,0.497,2011.273
4,10,39419.317,2,0.622,3213.107
4,10,39419.317,4,0.724,5520.229
4,10,39419.317,8,0.78,10241.003
4,10,39419.317,16,0.814,19580.136
4,10,39419.317,32,0.777,41129.294
4,10,39419.317,64,0.761,62960.783
4,10,39419.317,128,0.747,106037.638
4,20,41417.587,1,0.621,1609.195
4,20,41417.587,2,0.865,2310.765
4,20,41417.587,4,1.02,3916.683
4,20,41417.587,8,1.17,6828.392
4,20,41417.587,16,0.931,17133.544
4,20,41417.587,32,0.807,39588.279
4,20,41417.587,64,1.087,43923.478
4,20,41417.587,128,0.925,84728.151
4,40,40904.933,1,0.709,1408.855
4,40,40904.933,2,0.994,2010.113
4,40,40904.933,4,1.24,3217.067
4,40,40904.933,8,1.447,5453.499
4,40,40904.933,16,1.371,11648.256
4,40,40904.933,32,0.951,33613.875
4,40,40904.933,64,1.055,45672.448
4,40,40904.933,128,1.015,83132.486
4,60,45012.688,1,0.706,1413.063
4,60,45012.688,2,0.903,2212.458
4,60,45012.688,4,0.994,4019.219
4,60,45012.688,8,1.09,7331.397
4,60,45012.688,16,1.224,13055.391
4,60,45012.688,32,0.752,42533.889
4,60,45012.688,64,0.961,52752.091
4,60,45012.688,128,1.103,71241.856
4,80,47331.172,1,0.584,1710.307
4,80,47331.172,2,0.736,2713.859
4,80,47331.172,4,0.846,4722.011
4,80,47331.172,8,0.904,8834.508
4,80,47331.172,16,0.741,21535.15
4,80,47331.172,32,0.813,39326.9
4,80,47331.172,64,1.012,47885.033
4,80,47331.172,128,0.967,80453.504
4,100,44189.497,1,0.585,1709.673
4,100,44189.497,2,0.737,2712.857
4,100,44189.497,4,0.829,4818.873
4,100,44189.497,8,0.83,9634.708
4,100,44189.497,16,0.914,17481.373
4,100,44189.497,32,0.877,36438.513
4,100,44189.497,64,0.998,48318.323
4,100,44189.497,128,1.006,79837.921
6,10,45667.783,1,0.473,2111.283
6,10,45667.783,2,0.585,3415.592
6,10,45667.783,4,0.675,5871.794
6,10,45667.783,8,0.717,11143.624
6,10,45667.783,16,0.696,22900.326
6,10,45667.783,32,0.694,46045.829
6,10,45667.783,64,0.636,75075.523
6,10,45667.783,128,0.678,118508.902
6,20,45138.394,1,0.552,1809.244
6,20,45138.394,2,0.711,2812.606
6,20,45138.394,4,0.812,4920.16
6,20,45138.394,8,0.875,9136.321
6,20,45138.394,16,0.905,17666.617
6,20,45138.394,32,0.907,35227.712
6,20,45138.394,64,0.867,55901.771
6,20,45138.394,128,0.856,98562.842
6,40,44819.354,1,0.552,1809.333
6,40,44819.354,2,0.622,3214.283
6,40,44819.354,4,0.686,5826.25
6,40,44819.354,8,0.717,11143.744
6,40,44819.354,16,0.766,20847.227
6,40,44819.354,32,0.838,38131.472
6,40,44819.354,64,0.746,65155.166
6,40,44819.354,128,1.062,77131.778
6,60,48246.863,1,0.551,1813.046
6,60,48246.863,2,0.686,2912.343
6,60,48246.863,4,0.829,4819.397
6,60,48246.863,8,0.875,9086.577
6,60,48246.863,16,0.852,18767.805
6,60,48246.863,32,0.803,39842.504
6,60,48246.863,64,0.942,53273.746
6,60,48246.863,128,1.051,76760.896
6,80,44735.713,1,0.708,1410.897
6,80,44735.713,2,0.796,2511.226
6,80,44735.713,4,0.943,4238.123
6,80,44735.713,8,0.705,11344.441
6,80,44735.713,16,0.741,21573.68
6,80,44735.713,32,0.938,34023.977
6,80,44735.713,64,0.814,57992.828
6,80,44735.713,128,0.86,91870.951
6,100,45843.56,1,0.663,1508.477
6,100,45843.56,2,0.904,2210.882
6,100,45843.56,4,1.104,3619.207
6,100,45843.56,8,1.135,7039.665
6,100,45843.56,16,1.075,14866.365
6,100,45843.56,32,1.11,28767.001
6,100,45843.56,64,1.053,45888.242
6,100,45843.56,128,0.961,89527.822
8,10,46004.042,1,0.473,2112.003
8,10,46004.042,2,0.568,3516.843
8,10,46004.042,4,0.663,6023.506
8,10,46004.042,8,0.731,10911.85
8,10,46004.042,16,0.702,22772.587
8,10,46004.042,32,0.693,46161.271
8,10,46004.042,64,0.655,73099.179
8,10,46004.042,128,0.685,116887.739
8,20,46355.652,1,0.551,1813.469
8,20,46355.652,2,0.686,2912.827
8,20,46355.652,4,0.796,5021.309
8,20,46355.652,8,0.856,9336.359
8,20,46355.652,16,0.875,18267.304
8,20,46355.652,32,0.928,34438.009
8,20,46355.652,64,0.796,58110.503
8,20,46355.652,128,0.81,97434.13
8,40,46337.177,1,0.621,1609.014
8,40,46337.177,2,0.828,2414.202
8,40,46337.177,4,0.947,4217.595
8,40,46337.177,8,1.035,7669.162
8,40,46337.177,16,1.128,14165.773
8,40,46337.177,32,1.14,28016.966
8,40,46337.177,64,1.06,45319.163
8,40,46337.177,128,0.95,82258.877
8,60,45753.754,1,0.497,2012.418
