memory1,compute1,memory2,compute2,startup_time,load,throughput,latency
2,10,2,10,55372.37,2,1.046,1710.709
2,10,2,10,55372.37,4,1.283,2914.499
2,10,2,10,55372.37,8,1.473,5275.392
2,10,2,10,55372.37,16,1.56,10122.113
2,10,2,10,55372.37,32,1.502,20876.213
2,10,2,10,55372.37,64,1.347,45598.176
2,10,2,10,55372.37,128,1.242,73322.242
2,20,2,20,58034.259,2,0.902,1913.26
2,20,2,20,58034.259,4,1.279,2517.699
2,20,2,20,58034.259,8,2.034,3924.864
2,20,2,20,58034.259,16,2.09,7639.722
2,20,2,20,58034.259,32,1.86,16875.446
2,20,2,20,58034.259,64,1.492,39296.214
2,20,2,20,58034.259,128,1.587,58630.066
2,30,2,30,60045.893,2,1.167,1611.32
2,30,2,30,60045.893,4,1.471,2264.966
2,30,2,30,60045.893,8,1.59,4374.686
2,30,2,30,60045.893,16,1.516,8638.504
2,30,2,30,60045.893,32,1.454,18773.259
2,30,2,30,60045.893,64,1.769,33134.438
2,30,2,30,60045.893,128,1.945,48545.534
2,40,2,40,67662.351,2,1.102,1260.821
2,40,2,40,67662.351,4,1.282,2564.54
2,40,2,40,67662.351,8,2.403,3222.089
2,40,2,40,67662.351,16,2.371,6332.395
2,40,2,40,67662.351,32,1.72,18172.609
2,40,2,40,67662.351,64,1.506,38167.841
2,40,2,40,67662.351,128,1.901,50375.244
2,50,2,50,60738.245,2,1.323,1510.337
2,50,2,50,60738.245,4,1.59,2363.501
2,50,2,50,60738.245,8,1.656,4322.948
2,50,2,50,60738.245,16,1.747,8540.282
2,50,2,50,60738.245,32,1.808,16823.262
2,50,2,50,60738.245,64,1.654,36678.692
2,50,2,50,60738.245,128,1.436,57443.514
2,10,4,10,61438.796,2,0.994,1910.861
2,10,4,10,61438.796,4,1.204,3167.862
2,10,4,10,61438.796,8,1.348,5676.059
2,10,4,10,61438.796,16,1.408,10995.795
2,10,4,10,61438.796,32,1.367,23333.979
2,10,4,10,61438.796,64,1.364,46751.874
2,10,4,10,61438.796,128,1.257,72680.664
2,20,4,20,58831.407,2,1.241,1560.883
2,20,4,20,58831.407,4,1.654,2364.18
2,20,4,20,58831.407,8,1.765,4223.56
2,20,4,20,58831.407,16,1.71,8590.84
2,20,4,20,58831.407,32,1.778,17921.582
2,20,4,20,58831.407,64,1.441,39215.393
2,20,4,20,58831.407,128,1.547,55920.705
2,30,4,30,56692.022,2,1.417,1209.197
2,30,4,30,56692.022,4,1.802,1964.109
2,30,4,30,56692.022,8,1.766,4374.348
2,30,4,30,56692.022,16,1.408,9541.314
2,30,4,30,56692.022,32,1.415,19533.483
2,30,4,30,56692.022,64,1.468,37533.03
2,30,4,30,56692.022,128,1.685,50101.493
2,40,4,40,59930.178,2,1.417,1259.59
2,40,4,40,59930.178,4,1.804,1912.687
2,40,4,40,59930.178,8,1.891,3922.665
2,40,4,40,59930.178,16,1.515,9747.314
2,40,4,40,59930.178,32,1.938,15142.696
2,40,4,40,59930.178,64,2.159,29491.51
2,40,4,40,59930.178,128,1.692,53111.463
2,50,4,50,59474.852,2,1.169,1559.93
2,50,4,50,59474.852,4,1.655,2112.671
2,50,4,50,59474.852,8,1.806,3821.638
2,50,4,50,59474.852,16,2.01,7943.432
2,50,4,50,59474.852,32,2.0,15517.731
2,50,4,50,59474.852,64,1.996,31426.974
2,50,4,50,59474.852,128,1.687,52198.383
4,10,4,10,61068.029,2,0.994,2011.383
4,10,4,10,61068.029,4,1.136,3518.114
4,10,4,10,61068.029,8,1.347,5930.452
4,10,4,10,61068.029,16,1.408,11350.415
4,10,4,10,61068.029,32,1.379,23134.858
4,10,4,10,61068.029,64,1.397,45718.074
4,10,4,10,61068.029,128,1.243,72943.441
4,20,4,20,59387.315,2,1.242,1560.739
4,20,4,20,59387.315,4,1.805,2112.68
4,20,4,20,59387.315,8,1.805,4222.622
4,20,4,20,59387.315,16,1.892,8089.598
4,20,4,20,59387.315,32,1.852,17084.692
4,20,4,20,59387.315,64,1.659,36436.335
4,20,4,20,59387.315,128,1.384,61242.866
4,30,4,30,60566.362,2,1.324,1309.146
4,30,4,30,60566.362,4,1.59,2313.632
4,30,4,30,60566.362,8,1.765,4376.514
4,30,4,30,60566.362,16,1.545,9494.565
4,30,4,30,60566.362,32,1.396,19831.729
4,30,4,30,60566.362,64,1.947,32360.706
4,30,4,30,60566.362,128,1.792,50928.892
4,40,4,40,59320.205,2,1.526,1259.233
4,40,4,40,59320.205,4,1.892,1987.164
4,40,4,40,59320.205,8,2.146,3571.819
4,40,4,40,59320.205,16,2.118,7287.107
4,40,4,40,59320.205,32,2.12,14665.835
4,40,4,40,59320.205,64,1.747,33382.523
4,40,4,40,59320.205,128,1.35,60595.427
4,50,4,50,62993.116,2,1.322,1411.196
4,50,4,50,62993.116,4,1.528,2513.818
4,50,4,50,62993.116,8,1.764,4374.352
4,50,4,50,62993.116,16,1.961,8090.797
4,50,4,50,62993.116,32,1.916,16288.901
4,50,4,50,62993.116,64,1.935,32977.853
4,50,4,50,62993.116,128,1.723,54338.485
4,10,6,10,56960.062,2,0.993,1910.725
4,10,6,10,56960.062,4,1.242,3065.412
4,10,6,10,56960.062,8,1.416,5389.018
4,10,6,10,56960.062,16,1.46,10393.783
4,10,6,10,56960.062,32,1.442,21536.047
4,10,6,10,56960.062,64,1.462,42663.488
4,10,6,10,56960.062,128,1.452,64319.94
4,20,6,20,59978.982,2,1.044,1812.71
4,20,6,20,59978.982,4,1.104,3091.396
4,20,6,20,59978.982,8,1.656,4648.103
4,20,6,20,59978.982,16,1.766,8543.738
4,20,6,20,59978.982,32,1.592,19008.519
4,20,6,20,59978.982,64,1.829,34225.626
4,20,6,20,59978.982,128,1.603,56176.797
4,30,6,30,59430.249,2,1.416,1360.399
4,30,6,30,59430.249,4,1.891,2012.018
4,30,6,30,59430.249,8,1.938,3922.04
4,30,6,30,59430.249,16,1.987,7792.927
4,30,6,30,59430.249,32,2.067,15040.537
4,30,6,30,59430.249,64,2.107,30172.768
4,30,6,30,59430.249,128,2.022,47391.838
4,40,6,40,62658.011,2,1.168,1359.839
4,40,6,40,62658.011,4,1.727,2162.802
4,40,6,40,62658.011,8,2.035,3771.925
4,40,6,40,62658.011,16,2.176,7322.072
4,40,6,40,62658.011,32,2.078,15065.014
4,40,6,40,62658.011,64,2.027,30548.354
4,40,6,40,62658.011,128,1.767,50611.237
4,50,6,50,59635.723,2,1.526,1110.458
4,50,6,50,59635.723,4,2.203,1762.239
4,50,6,50,59635.723,8,2.406,3118.406
4,50,6,50,59635.723,16,2.523,5453.709
4,50,6,50,59635.723,32,2.584,10960.725
4,50,6,50,59635.723,64,2.118,24130.776
4,50,6,50,59635.723,128,2.285,34075.974
6,10,6,10,61704.605,2,0.862,2164.953
6,10,6,10,61704.605,4,1.168,3217.583
6,10,6,10,61704.605,8,1.349,5775.174
6,10,6,10,61704.605,16,1.396,11359.746
6,10,6,10,61704.605,32,1.328,23744.028
6,10,6,10,61704.605,64,1.319,46911.652
6,10,6,10,61704.605,128,1.387,69023.288
6,20,6,20,60123.207,2,0.947,1961.22
6,20,6,20,60123.207,4,1.17,2866.546
6,20,6,20,60123.207,8,1.223,5476.397
6,20,6,20,60123.207,16,1.87,8341.967
6,20,6,20,60123.207,32,1.84,16920.194
6,20,6,20,60123.207,64,1.715,36091.008
6,20,6,20,60123.207,128,1.797,52666.676
6,30,6,30,63392.559,2,0.993,1360.33
6,30,6,30,63392.559,4,1.529,2514.299
6,30,6,30,63392.559,8,1.347,5178.427
6,30,6,30,63392.559,16,1.396,9393.928
6,30,6,30,63392.559,32,2.065,14869.046
6,30,6,30,63392.559,64,2.143,28254.61
6,30,6,30,63392.559,128,1.772,49878.572
6,40,6,40,63285.476,2,1.416,1410.971
6,40,6,40,63285.476,4,1.886,2066.568
6,40,6,40,63285.476,8,2.205,3471.473
6,40,6,40,63285.476,16,2.175,7070.324
6,40,6,40,63285.476,32,2.135,14734.618
6,40,6,40,63285.476,64,2.117,29980.641
6,40,6,40,63285.476,128,1.774,46996.063
6,50,6,50,127912.094,2,1.525,1059.095
6,50,6,50,127912.094,4,2.204,1586.164
6,50,6,50,127912.094,8,2.832,2718.704
6,50,6,50,127912.094,16,2.993,5131.881
6,50,6,50,127912.094,32,2.996,9750.175
6,50,6,50,127912.094,64,2.957,19957.16
6,50,6,50,127912.094,128,2.624,32306.686
6,10,8,10,124232.89,2,1.045,1811.386
6,10,8,10,124232.89,4,1.206,3264.872
6,10,8,10,124232.89,8,1.395,5726.934
6,10,8,10,124232.89,16,1.473,10745.734
6,10,8,10,124232.89,32,1.396,22685.75
6,10,8,10,124232.89,64,1.397,45599.098
6,10,8,10,124232.89,128,1.292,71267.053
6,20,8,20,60084.299,2,0.943,2065.603
6,20,8,20,60084.299,4,1.241,3071.548
6,20,8,20,60084.299,8,1.303,5378.908
6,20,8,20,60084.299,16,1.396,10194.998
6,20,8,20,60084.299,32,1.441,19949.575
6,20,8,20,60084.299,64,1.444,40044.809
6,20,8,20,60084.299,128,1.468,60278.133
6,30,8,30,114400.259,2,1.526,1208.995
6,30,8,30,114400.259,4,2.089,1711.442
6,30,8,30,114400.259,8,2.555,2770.484
6,30,8,30,114400.259,16,2.786,5380.459
6,30,8,30,114400.259,32,2.941,10052.927
6,30,8,30,114400.259,64,2.903,19594.387
6,30,8,30,114400.259,128,1.984,36609.778
6,40,8,40,103218.358,2,1.525,1159.474
6,40,8,40,103218.358,4,2.332,1612.095
6,40,8,40,103218.358,8,2.83,2770.024
6,40,8,40,103218.358,16,3.172,4994.748
6,40,8,40,103218.358,32,2.134,11912.706
6,40,8,40,103218.358,64,2.034,24405.097
6,40,8,40,103218.358,128,2.3,34668.606
6,50,8,50,67498.691,2,1.412,1363.518
6,50,8,50,67498.691,4,1.242,2965.742
6,50,8,50,67498.691,8,1.326,5126.033
6,50,8,50,67498.691,16,1.396,10444.668
6,50,8,50,67498.691,32,2.107,14762.645
6,50,8,50,67498.691,64,1.565,38189.495
6,50,8,50,67498.691,128,1.929,48188.74
