memory1,compute1,memory2,compute2,memory3,compute3,memory4,compute4,startup_time,load,throughput,latency
2,10,2,10,2,10,2,10,88240.831,2,1.166,1612.786
2,10,2,10,2,10,2,10,88240.831,4,2.203,1613.585
2,10,2,10,2,10,2,10,88240.831,8,2.637,2768.047
2,10,2,10,2,10,2,10,88240.831,16,2.605,5779.564
2,10,2,10,2,10,2,10,88240.831,32,2.814,10900.368
2,10,2,10,2,10,2,10,88240.831,64,2.816,22465.054
2,10,2,10,2,10,2,10,88240.831,128,2.694,46809.781
2,20,2,20,2,10,2,10,93058.718,2,1.322,1510.793
2,20,2,20,2,10,2,10,93058.718,4,1.89,1612.086
2,20,2,20,2,10,2,10,93058.718,8,2.269,2794.124
2,20,2,20,2,10,2,10,93058.718,16,2.646,4753.875
2,20,2,20,2,10,2,10,93058.718,32,2.89,9398.328
2,20,2,20,2,10,2,10,93058.718,64,2.687,19327.964
2,20,2,20,2,10,2,10,93058.718,128,2.657,40046.146
2,20,2,20,2,20,2,20,90310.464,2,1.523,1210.36
2,20,2,20,2,20,2,20,90310.464,4,2.637,1311.904
2,20,2,20,2,20,2,20,90310.464,8,3.05,2232.257
2,20,2,20,2,20,2,20,90310.464,16,3.45,4350.82
2,20,2,20,2,20,2,20,90310.464,32,3.875,7546.182
2,20,2,20,2,20,2,20,90310.464,64,3.853,16120.276
2,20,2,20,2,20,2,20,90310.464,128,3.289,36283.287
2,40,2,20,2,20,2,20,88913.708,2,1.801,1109.179
2,40,2,20,2,20,2,20,88913.708,4,2.204,1185.481
2,40,2,20,2,20,2,20,88913.708,8,3.049,2319.007
2,40,2,20,2,20,2,20,88913.708,16,3.776,3852.498
2,40,2,20,2,20,2,20,88913.708,32,3.918,7266.658
2,40,2,20,2,20,2,20,88913.708,64,3.719,15596.565
2,40,2,20,2,20,2,20,88913.708,128,3.155,32862.659
4,10,2,10,2,10,2,10,90257.677,2,1.319,1512.795
4,10,2,10,2,10,2,10,90257.677,4,2.191,1742.034
4,10,2,10,2,10,2,10,90257.677,8,2.199,3497.093
4,10,2,10,2,10,2,10,90257.677,16,2.645,5805.714
4,10,2,10,2,10,2,10,90257.677,32,2.525,12313.744
4,10,2,10,2,10,2,10,90257.677,64,2.45,25290.684
4,10,2,10,2,10,2,10,90257.677,128,2.395,50640.12
4,20,2,20,2,10,2,10,94251.17,2,1.414,1310.932
4,20,2,20,2,10,2,10,94251.17,4,1.892,1587.877
4,20,2,20,2,10,2,10,94251.17,8,2.206,2895.72
4,20,2,20,2,10,2,10,94251.17,16,2.604,5130.618
4,20,2,20,2,10,2,10,94251.17,32,2.651,10224.678
4,20,2,20,2,10,2,10,94251.17,64,2.526,21086.052
4,20,2,20,2,10,2,10,94251.17,128,2.469,43245.371
4,20,2,20,2,20,2,20,91025.554,2,1.786,1113.598
4,20,2,20,2,20,2,20,91025.554,4,2.335,1361.055
4,20,2,20,2,20,2,20,91025.554,8,3.304,2116.704
4,20,2,20,2,20,2,20,91025.554,16,3.523,4104.228
4,20,2,20,2,20,2,20,91025.554,32,3.609,8367.011
4,20,2,20,2,20,2,20,91025.554,64,3.33,18444.599
4,20,2,20,2,20,2,20,91025.554,128,3.074,40633.281
4,40,2,20,2,20,2,20,92810.205,2,1.316,1415.608
4,40,2,20,2,20,2,20,92810.205,4,2.479,1339.114
4,40,2,20,2,20,2,20,92810.205,8,2.937,2167.802
4,40,2,20,2,20,2,20,92810.205,16,3.375,4266.626
4,40,2,20,2,20,2,20,92810.205,32,3.735,7921.352
4,40,2,20,2,20,2,20,92810.205,64,3.457,17042.757
4,40,2,20,2,20,2,20,92810.205,128,3.105,37412.385
4,10,4,10,2,10,2,10,86835.216,2,0.864,1964.544
4,10,4,10,2,10,2,10,86835.216,4,1.888,1887.931
4,10,4,10,2,10,2,10,86835.216,8,2.27,3118.497
4,10,4,10,2,10,2,10,86835.216,16,2.271,6205.89
4,10,4,10,2,10,2,10,86835.216,32,2.339,12697.572
4,10,4,10,2,10,2,10,86835.216,64,2.385,25720.07
4,10,4,10,2,10,2,10,86835.216,128,2.518,50299.412
4,20,4,20,2,10,2,10,101897.52,2,0.901,1713.294
4,20,4,20,2,10,2,10,101897.52,4,1.981,1689.182
4,20,4,20,2,10,2,10,101897.52,8,2.477,2846.107
4,20,4,20,2,10,2,10,101897.52,16,2.605,5103.618
4,20,4,20,2,10,2,10,101897.52,32,2.409,11127.318
4,20,4,20,2,10,2,10,101897.52,64,2.144,24400.247
4,20,4,20,2,10,2,10,101897.52,128,2.437,43951.268
4,20,4,20,2,20,2,20,95881.457,2,1.042,1463.321
4,20,4,20,2,20,2,20,95881.457,4,2.204,1662.696
4,20,4,20,2,20,2,20,95881.457,8,3.167,2344.82
4,20,4,20,2,20,2,20,95881.457,16,3.173,4579.986
4,20,4,20,2,20,2,20,95881.457,32,3.176,9118.37
4,20,4,20,2,20,2,20,95881.457,64,2.487,21942.686
4,20,4,20,2,20,2,20,95881.457,128,2.493,44119.663
4,40,4,20,2,20,2,20,97241.559,2,1.241,1359.894
4,40,4,20,2,20,2,20,97241.559,4,1.983,1438.559
4,40,4,20,2,20,2,20,97241.559,8,2.56,2820.203
4,40,4,20,2,20,2,20,97241.559,16,2.605,5080.953
4,40,4,20,2,20,2,20,97241.559,32,2.524,10073.984
4,40,4,20,2,20,2,20,97241.559,64,2.487,21885.364
4,40,4,20,2,20,2,20,97241.559,128,2.874,39271.185
4,10,4,10,4,10,2,10,109199.205,2,0.944,1713.208
4,10,4,10,4,10,2,10,109199.205,4,1.727,2139.534
4,10,4,10,4,10,2,10,109199.205,8,2.206,3221.364
4,10,4,10,4,10,2,10,109199.205,16,2.037,6761.916
4,10,4,10,4,10,2,10,109199.205,32,2.015,14310.595
