memory1,compute1,memory2,compute2,memory3,compute3,memory4,compute4,startup_time,arrival_rate,throughput,average_latency,latencies,utilization
3,10,3,10,3,10,3,10,93537.226,1,0.733,71312.453,"[5440.234661102295, 4638.701438903809, 4746.136665344238, 4032.517194747925, 5435.538768768311, 4634.76300239563, 4738.4912967681885, 4027.9526710510254, 5434.14568901062, 4632.169485092163, 4736.006259918213, 4026.1166095733643, 5428.468227386475, 4628.5810470581055, 4732.629776000977]","[]"
3,10,3,10,3,10,3,10,93537.226,2,1.191,135172.802,"[10171.68140411377, 9668.133974075317, 8558.947086334229, 7450.192451477051, 10162.739992141724, 9651.939392089844, 8551.860570907593, 7443.620204925537, 10163.90061378479, 9651.895999908447, 8551.014423370361, 7438.669681549072, 10159.099340438843, 9647.565364837646, 8543.293476104736, 7435.305833816528, 10158.754110336304, 9641.534805297852, 8546.002626419067, 7442.558526992798, 10148.767709732056, 9646.171569824219, 8541.086673736572, 7433.833837509155, 10147.588014602661, 9644.559383392334, 8536.559104919434, 7431.708574295044, 10141.66808128357, 9634.950876235962]","[]"
3,10,3,10,3,10,3,10,93537.226,3,1.535,202598.247,"[14283.355236053467, 14079.19979095459, 13488.95239830017, 12182.791948318481, 14286.094427108765, 14076.163291931152, 13473.58751296997, 12177.035093307495, 14283.686876296997, 14075.116395950317, 13475.062370300293, 12165.525674819946, 14267.275094985962, 14075.490236282349, 13467.290878295898, 12165.198802947998, 14269.69861984253, 14066.500902175903, 13463.18531036377, 12162.002086639404, 14269.648790359497, 14062.301874160767, 13464.080333709717, 12160.6924533844, 14261.939764022827, 14061.56063079834, 13464.987754821777, 12163.973808288574, 14253.807783126831, 14053.83586883545, 13453.150272369385, 12151.671648025513, 14261.11102104187, 14052.961826324463, 13458.305835723877, 12151.273965835571, 14250.443458557129, 14056.146144866943, 13453.150272369385, 12152.410507202148, 14250.11658668518, 14046.9651222229, 13461.01427078247, 12144.2232131958, 14251.754522323608]","[]"
3,10,3,10,3,10,3,10,93537.226,4,1.789,262691.31,"[17913.42544555664, 18509.007692337036, 17997.270822525024, 15595.137119293213, 17915.382862091064, 18497.88999557495, 17986.955642700195, 15585.759162902832, 17908.570051193237, 18487.576246261597, 17995.405435562134, 15571.243286132812, 17872.737646102905, 18472.760438919067, 17972.949266433716, 15582.88288116455, 17902.792930603027, 18494.84920501709, 17984.058618545532, 15566.645383834839, 17867.814302444458, 18493.012189865112, 17972.397089004517, 15573.375701904297, 17891.809701919556, 18472.418785095215, 17974.036931991577, 15558.120965957642, 17892.390251159668, 18473.703384399414, 17975.416660308838, 15573.009014129639, 17891.624927520752, 18468.430042266846, 17975.09741783142, 15568.4072971344, 17863.039255142212, 18483.989477157593, 17966.185569763184, 15558.651685714722, 17884.43422317505, 18478.121995925903, 17966.59231185913, 15565.660238265991, 17882.088899612427, 18463.731050491333, 17974.29585456848, 15561.102151870728, 17877.134323120117, 18476.12690925598, 17973.602533340454, 17663.350582122803, 17876.11675262451, 18462.920665740967, 17954.460620880127, 15555.479288101196, 17875.81205368042, 18466.657876968384, 17956.205129623413, 15545.116424560547]","[]"
3,10,3,10,3,10,3,10,93537.226,5,1.925,344473.728,"[23732.36870765686, 23005.37919998169, 23911.23342514038, 21208.812952041626, 23711.851119995117, 23016.728401184082, 23911.038637161255, 21196.38729095459, 23709.99503135681, 23014.766931533813, 23904.529333114624, 21192.005395889282, 23703.173875808716, 23002.670288085938, 23907.30094909668, 21200.2911567688, 23692.182540893555, 22984.952449798584, 23907.126903533936, 21193.607807159424, 23704.39314842224, 22997.724771499634, 23911.83066368103, 21187.094926834106, 23703.357934951782, 22986.702919006348, 23895.602464675903, 21187.222719192505, 23691.127061843872, 22987.403869628906, 23895.99561691284, 21185.905694961548, 23711.549282073975, 22987.61534690857, 23885.578870773315, 21197.132110595703, 23686.601877212524, 22991.790533065796, 23884.66477394104, 21177.499532699585, 23700.249671936035, 22982.63454437256, 23903.28073501587, 21194.475650787354, 23695.82748413086, 22989.60518836975, 23884.989500045776, 21175.052404403687, 23689.63098526001, 22991.24002456665, 23890.22994041443, 21189.189195632935, 23684.96823310852, 22992.51627922058, 23903.96213531494, 21169.289350509644, 23692.68822669983, 22981.914520263672, 23890.218257904053, 21184.29136276245, 23697.44896888733, 22976.807355880737, 23891.88289642334, 21171.154499053955, 23674.006462097168, 22970.39556503296, 23874.632358551025, 21174.72004890442, 23680.827379226685, 22969.816207885742, 23886.903762817383, 21175.670385360718, 23590.622901916504, 22989.566326141357, 23894.733428955078]","[]"
3,10,3,10,3,10,3,10,93537.226,6,2.075,410598.684,"[28226.595401763916, 28346.08745574951, 27730.374574661255, 25219.666957855225, 28145.063400268555, 28349.836587905884, 27751.56021118164, 25229.92777824402, 28235.653400421143, 28339.346647262573, 27749.422311782837, 25222.366094589233, 28227.23913192749, 28342.65899658203, 27743.478298187256, 25198.83370399475, 28131.675958633423, 28324.07283782959, 27743.871212005615, 25220.95513343811, 28128.029823303223, 28334.897994995117, 27711.02023124695, 25224.016904830933, 28129.675149917603, 28322.904586791992, 27738.041162490845, 25217.26155281067, 28216.875791549683, 28327.96859741211, 27719.477891921997, 25216.86291694641, 28213.987588882446, 28317.790031433105, 27720.624685287476, 25190.27805328369, 28115.121841430664, 28308.279752731323, 27717.972993850708, 25211.95411682129, 28213.128328323364, 28315.222024917603, 27710.988998413086, 25204.397916793823, 28204.20241355896, 28330.81555366516, 27715.888023376465, 25210.9112739563, 28111.34910583496, 28316.12277030945, 27701.148748397827, 25204.96916770935, 28201.90715789795, 28313.891410827637, 27723.626375198364, 25183.017015457153, 28200.838565826416, 28313.228368759155, 27708.32347869873, 25196.143627166748, 28196.63691520691, 28296.655416488647, 27720.12758255005, 25191.4963722229, 28103.80220413208, 28315.21248817444, 27683.212995529175, 25179.264307022095, 28200.252532958984, 28305.31907081604, 27707.53049850464, 25172.771692276, 28182.98864364624, 28302.546501159668, 27717.20576286316, 25200.502395629883, 28197.444438934326, 28303.650856018066, 27703.551054000854, 25193.402528762817, 28101.961374282837, 28304.567098617554, 27693.21608543396, 25190.58632850647, 28191.56265258789, 28305.033683776855, 27694.655418395996, 25192.98529624939, 28102.745056152344, 28299.370288848877]","[]"
3,10,3,10,3,10,3,10,93537.226,7,2.155,452668.042,"[33694.47898864746, 31470.350980758667, 32079.060077667236, 30855.59058189392, 33664.8907661438, 31449.679851531982, 32071.10333442688, 20242.143392562866, 33647.326946258545, 31451.899766921997, 32043.4992313385, 20223.65093231201, 33676.23472213745, 31464.427947998047, 32061.51795387268, 30845.417261123657, 33640.64955711365, 31441.896200180054, 32038.763284683228, 20214.36882019043, 33677.31189727783, 31451.502084732056, 32040.612936019897, 30838.82236480713, 33646.50106430054, 31438.607931137085, 32030.437707901, 30841.983795166016, 33652.61435508728, 31439.209938049316, 32029.901027679443, 20205.408811569214, 33641.11924171448, 31433.71081352234, 32043.15233230591, 20198.153018951416, 33638.12708854675, 31438.318014144897, 32040.42625427246, 20218.788623809814, 33665.71116447449, 31420.382499694824, 32014.58168029785, 30830.324172973633, 33638.99612426758, 31435.372591018677, 32031.401872634888, 20196.436166763306, 33665.64965248108, 31420.084238052368, 32041.391611099243, 20215.440273284912, 33667.1724319458, 31419.957160949707, 32017.425537109375, 30821.97666168213, 33612.648248672485, 31427.95491218567, 32035.04490852356, 20198.522806167603, 33632.97700881958, 31408.309936523438, 32012.497901916504, 20198.206901550293, 33660.40515899658, 31421.66543006897, 32029.75606918335, 20184.967756271362, 33627.58016586304, 31432.097911834717, 32033.651113510132, 20199.134588241577, 33656.06641769409, 31412.293910980225, 32002.3136138916, 20188.507080078125, 33627.177715301514, 31418.43581199646, 32025.84481239319, 20180.806636810303, 33627.835512161255, 31420.84002494812, 32010.862588882446, 30815.062284469604, 33654.52027320862, 31431.284189224243, 31998.76570701599, 30818.305730819702, 33646.743297576904, 31402.007341384888, 32022.550106048584, 20179.689407348633, 33625.197887420654, 31396.8243598938, 32002.105951309204, 20181.904315948486, 33636.637926101685, 31417.34290122986, 32006.49070739746, 20195.587635040283, 33618.40224266052, 31400.840520858765, 32001.006364822388, 20171.0524559021, 33643.6071395874]","[]"
3,10,3,10,3,10,3,10,93537.226,8,2.264,553399.088,"[37804.80933189392, 36870.808362960815, 37876.258850097656, 35192.291259765625, 37789.67046737671, 36859.215259552, 37878.72266769409, 35183.268785476685, 37766.11518859863, 36856.3928604126, 37863.34681510925, 35181.641817092896, 37781.622648239136, 36846.609592437744, 37866.058349609375, 35175.766468048096, 37761.35730743408, 36854.3221950531, 37854.331731796265, 35161.40818595886, 37761.5385055542, 36878.74364852905, 37877.1390914917, 35165.438652038574, 37745.68676948547, 36836.06266975403, 37854.395627975464, 35164.84332084656, 37770.845890045166, 36844.043016433716, 37853.58953475952, 35135.345220565796, 37740.031480789185, 36868.01862716675, 37854.32577133179, 35168.03193092346, 37769.7958946228, 36862.52665519714, 37830.665826797485, 35160.712480545044, 37762.05539703369, 36861.759185791016, 37855.70216178894, 35147.33409881592, 37769.44136619568, 36864.79640007019, 37832.399129867554, 35160.66241264343, 37762.8116607666, 36862.21122741699, 37857.15460777283, 35152.81295776367, 37761.47818565369, 36853.44195365906, 37850.84676742554, 35150.11501312256, 37722.37539291382, 36828.5653591156, 37838.17982673645, 35134.72628593445, 37750.28705596924, 36817.9235458374, 37832.82828330994, 35129.70781326294, 37758.13174247742, 36821.45619392395, 37819.260358810425, 35138.14926147461, 37720.94941139221, 36848.41251373291, 37821.319818496704, 35129.008293151855, 37748.20876121521, 36814.899921417236, 37846.89116477966, 35148.072957992554, 37717.25296974182, 36853.63006591797, 37749.74846839905, 35125.691413879395, 37718.202352523804, 36848.32835197449, 37822.378396987915, 35144.84238624573, 37719.23828125, 36813.701152801514, 37819.634199142456, 35115.145206451416, 37742.09260940552, 36842.14687347412, 37810.35113334656, 35105.42440414429, 37708.70804786682, 36811.88488006592, 37809.77439880371, 35132.50732421875, 37736.99069023132, 36835.620641708374, 37825.49524307251, 35140.79189300537, 37738.14153671265, 36844.37704086304, 37819.74267959595, 35122.13969230652, 37732.09524154663, 36813.7309551239, 37833.09268951416, 35111.164808273315, 37701.30658149719, 36818.679094314575, 37810.24765968323, 35138.01693916321, 37735.28170585632, 36828.367471694946, 37825.60324668884, 35135.63323020935, 37735.761880874634, 36827.893018722534, 37822.66044616699, 35109.00783538818]","[]"
3,10,3,10,3,10,3,10,93537.226,9,2.291,581393.371,"[41125.062227249146, 41719.35534477234, 41716.843366622925, 26266.545057296753, 41106.25648498535, 41718.86873245239, 41708.537101745605, 26265.009880065918, 41105.501651763916, 41710.92653274536, 41691.80369377136, 26264.281511306763, 41101.10354423523, 41713.37056159973, 41662.01329231262, 26266.7453289032, 41108.642578125, 41703.11903953552, 41671.64993286133, 26262.460470199585, 41093.82486343384, 41691.06841087341, 41674.08275604248, 26256.62088394165, 41087.34464645386, 41703.37772369385, 41666.43691062927, 26254.95934486389, 41059.20481681824, 41693.270683288574, 41697.51453399658, 26252.103328704834, 41089.715003967285, 41697.29566574097, 41697.46780395508, 39270.60961723328, 41089.30253982544, 41676.06019973755, 41695.247173309326, 39270.949363708496, 41091.02416038513, 41682.461738586426, 41658.51044654846, 39272.180795669556, 41081.04991912842, 41676.23543739319, 41678.11727523804, 26240.506887435913, 41065.89651107788, 41660.89653968811, 43774.50466156006, 26234.713554382324, 41059.300899505615, 41645.57123184204, 41685.44936180115, 26240.772247314453, 41084.691524505615, 41677.467584609985, 41679.240226745605, 26211.42530441284, 41088.319540023804, 41645.51854133606, 41645.7953453064, 39251.80172920227, 41082.72385597229, 41686.32245063782, 41648.75602722168, 26238.7957572937, 41044.81649398804, 41685.61363220215, 41641.358852386475, 26206.000804901123, 41066.71142578125, 41680.07135391235, 41670.69149017334, 26230.60131072998, 43172.31822013855, 41663.42067718506, 41654.489517211914, 26230.416536331177, 41071.31266593933, 41672.58143424988, 41642.51446723938, 26235.33582687378, 41057.830572128296, 41658.76483917236, 41665.59147834778, 39253.952741622925, 41063.27128410339, 41661.70525550842, 41638.121366500854, 26198.13323020935, 41068.63522529602, 41666.16106033325, 41663.708209991455, 26223.474264144897, 41031.05187416077, 41665.17925262451, 41669.57449913025, 39239.128828048706, 41066.70427322388, 41669.24047470093, 41664.73603248596, 26226.78542137146, 41068.96924972534, 41664.9124622345, 41661.30518913269, 26200.481414794922, 41062.45756149292, 41653.65791320801, 41668.78318786621, 26214.367389678955, 41068.360567092896, 41662.43624687195, 41628.56197357178, 39245.29790878296, 41061.73658370972, 41663.99383544922, 41658.49828720093, 39245.731592178345, 41067.485332489014, 43853.447914123535, 41664.35647010803, 39235.73088645935, 41052.714347839355, 41663.840770721436, 41661.14950180054, 26208.788633346558, 41016.765832901, 41661.66973114014, 41623.1746673584, 39230.464696884155, 41060.10842323303, 41646.5482711792, 41651.936054229736]","[]"
3,10,3,10,3,10,3,10,93537.226,10,2.217,620715.647,"[45541.36514663696, 42093.027114868164, 47469.098806381226, 44057.33323097229, 45543.421030044556, 42083.87780189514, 41773.63896369934, 14474.22170639038, 45528.77378463745, 42065.531730651855, 41771.332025527954, 44035.31551361084, 45531.11267089844, 48907.779932022095, 41770.663261413574, 14453.407764434814, 45537.27126121521, 42066.27702713013, 41765.50841331482, 44030.87019920349, 45525.217056274414, 42065.27233123779, 41754.24790382385, 14444.973707199097, 45492.82217025757, 42070.380449295044, 41737.75053024292, 44022.77493476868, 45479.12096977234, 48890.10310173035, 41756.826877593994, 14455.70993423462, 45524.43027496338, 42064.89300727844, 41756.574869155884, 44020.66087722778, 45518.035650253296, 42048.927783966064, 41740.910053253174, 44082.749366760254, 45479.64787483215, 42050.31657218933, 41736.159801483154, 14438.4183883667, 45511.09051704407, 42089.776277542114, 47432.34443664551, 44018.96953582764, 52597.83744812012, 42092.53406524658, 41744.686126708984, 44023.7340927124, 45498.963594436646, 48861.427545547485, 41740.94247817993, 14441.059827804565, 52605.29661178589, 42086.2398147583, 41741.997957229614, 43994.53687667847, 45511.83533668518, 42082.39936828613, 41728.222608566284, 14435.96601486206, 45512.58397102356, 42034.46292877197, 41729.990005493164, 14451.29370689392, 45502.33864784241, 42038.14721107483, 41740.131855010986, 43997.735023498535, 45505.22971153259, 42064.31603431702, 41722.071170806885, 44016.55983924866, 45492.008209228516, 42049.19767379761, 41718.18780899048, 43997.21002578735, 45495.95522880554, 42075.467586517334, 41731.58407211304, 44012.83764839172, 45501.54685974121, 42077.71897315979, 41694.83137130737, 14429.50701713562, 45502.304553985596, 42075.36005973816, 41688.87805938721, 43974.67827796936, 52595.460414886475, 42071.94375991821, 41720.26038169861, 43993.71957778931, 52587.873458862305, 42065.73247909546, 41711.368799209595, 14421.513319015503, 45485.61358451843, 42032.01222419739, 41715.5978679657, 43989.10737037659, 45492.62285232544, 48842.71454811096, 47410.54105758667, 43992.54059791565, 45465.96908569336, 42062.94822692871, 41709.627628326416, 44000.829219818115, 45487.706899642944, 42019.86742019653, 41706.16960525513, 43975.6977558136, 45478.5041809082, 42031.96859359741, 41713.19127082825, 14403.152227401733, 45490.94009399414, 42022.70245552063, 41712.55874633789, 43995.88084220886, 45474.79009628296, 48831.286907196045, 41721.57287597656, 43990.925312042236, 45471.03548049927, 42050.801277160645, 41711.504220962524, 14400.261640548706, 52575.21939277649, 42021.260023117065, 47405.03430366516, 43976.97043418884, 45480.43394088745, 42015.159606933594, 41707.94486999512, 43974.47109222412, 45434.080362319946, 42016.22986793518, 41702.37851142883, 14396.933555603027, 45470.80612182617, 42040.900230407715, 41698.336124420166, 43988.22784423828, 45459.76781845093, 42005.05805015564]","[]"
