memory1,compute1,memory2,compute2,startup_time,load,throughput,latency
2,10,2,10,51701.108,2,1.168,1410.565
2,10,2,10,51701.108,4,1.525,2318.622
2,10,2,10,51701.108,8,1.806,4122.599
2,10,2,10,51701.108,16,1.939,7889.986
2,10,2,10,51701.108,32,1.988,15902.524
2,10,2,10,51701.108,64,1.996,31825.315
2,10,2,10,51701.108,128,1.919,49726.187
2,20,2,20,50319.977,2,1.521,1112.12
2,20,2,20,50319.977,4,2.085,1713.958
2,20,2,20,50319.977,8,2.56,2918.726
2,20,2,20,50319.977,16,2.834,5381.651
2,20,2,20,50319.977,32,2.911,10455.736
2,20,2,20,50319.977,64,2.93,21715.861
2,20,2,20,50319.977,128,2.809,33941.557
2,30,2,30,48998.263,2,1.65,1061.033
2,30,2,30,48998.263,4,2.197,1565.857
2,30,2,30,48998.263,8,2.936,2317.895
2,30,2,30,48998.263,16,3.373,4480.193
2,30,2,30,48998.263,32,3.65,7728.945
2,30,2,30,48998.263,64,3.712,15635.113
2,30,2,30,48998.263,128,3.532,24384.02
2,40,2,40,50237.505,2,1.652,858.784
2,40,2,40,50237.505,4,2.64,1211.484
2,40,2,40,50237.505,8,3.443,2016.612
2,40,2,40,50237.505,16,3.959,3677.829
2,40,2,40,50237.505,32,4.226,7396.909
2,40,2,40,50237.505,64,4.499,13899.639
2,40,2,40,50237.505,128,4.41,21291.953
2,50,2,50,50273.759,2,1.8,1109.309
2,50,2,50,50273.759,4,2.46,1619.255
2,50,2,50,50273.759,8,3.3,2417.47
2,50,2,50,50273.759,16,3.599,4379.857
2,50,2,50,50273.759,32,3.912,7950.502
2,50,2,50,50273.759,64,2.916,18742.491
2,50,2,50,50273.759,128,2.195,35391.8
2,10,4,10,55660.526,2,1.045,1712.138
2,10,4,10,55660.526,4,1.419,2615.085
2,10,4,10,55660.526,8,1.765,4524.291
2,10,4,10,55660.526,16,1.712,8969.703
2,10,4,10,55660.526,32,1.693,18264.943
2,10,4,10,55660.526,64,1.732,36567.243
2,10,4,10,55660.526,128,1.652,56794.194
2,20,4,20,55443.262,2,1.524,1009.512
2,20,4,20,55443.262,4,1.979,1714.886
2,20,4,20,55443.262,8,2.481,2918.621
2,20,4,20,55443.262,16,2.782,5534.499
2,20,4,20,55443.262,32,2.812,11303.12
2,20,4,20,55443.262,64,2.457,25341.537
2,20,4,20,55443.262,128,2.266,41140.742
2,30,4,30,56667.257,2,1.416,1361.111
2,30,4,30,56667.257,4,1.726,2064.398
2,30,4,30,56667.257,8,1.938,3470.858
2,30,4,30,56667.257,16,2.012,7036.621
2,30,4,30,56667.257,32,2.079,14212.028
2,30,4,30,56667.257,64,2.107,27817.206
2,30,4,30,56667.257,128,2.111,41370.937
2,40,4,40,51990.384,2,1.799,1059.623
2,40,4,40,51990.384,4,2.332,1612.234
2,40,4,40,51990.384,8,2.732,2871.153
2,40,4,40,51990.384,16,2.935,5282.328
2,40,4,40,51990.384,32,2.861,10510.494
2,40,4,40,51990.384,64,1.879,28702.332
2,40,4,40,51990.384,128,2.384,38028.859
2,50,4,50,53145.078,2,1.321,1361.741
2,50,4,50,53145.078,4,2.333,1511.589
2,50,4,50,53145.078,8,2.932,2469.428
2,50,4,50,53145.078,16,3.173,4729.713
2,50,4,50,53145.078,32,2.482,12407.895
2,50,4,50,53145.078,64,1.947,30151.016
2,50,4,50,53145.078,128,2.425,39393.331
4,10,4,10,56035.573,2,1.045,1814.245
4,10,4,10,56035.573,4,1.473,2664.297
4,10,4,10,56035.573,8,1.692,4671.319
4,10,4,10,56035.573,16,1.786,8891.787
4,10,4,10,56035.573,32,1.758,18069.789
4,10,4,10,56035.573,64,1.75,36377.372
4,10,4,10,56035.573,128,1.751,54661.866
4,20,4,20,53617.058,2,1.525,1114.712
4,20,4,20,53617.058,4,1.887,1866.924
4,20,4,20,53617.058,8,2.267,3073.661
4,20,4,20,53617.058,16,2.604,5930.84
4,20,4,20,53617.058,32,2.693,11156.612
4,20,4,20,53617.058,64,2.612,23254.863
4,20,4,20,53617.058,128,2.61,35084.777
4,30,4,30,52872.263,2,1.323,1310.686
4,30,4,30,52872.263,4,2.476,1414.398
4,30,4,30,52872.263,8,3.17,2220.131
4,30,4,30,52872.263,16,3.686,3830.12
4,30,4,30,52872.263,32,3.867,7709.386
4,30,4,30,52872.263,64,3.907,15056.771
4,30,4,30,52872.263,128,2.879,27141.144
4,40,4,40,53570.592,2,1.65,909.881
4,40,4,40,53570.592,4,2.085,1664.414
4,40,4,40,53570.592,8,3.168,2317.984
4,40,4,40,53570.592,16,3.233,4932.969
4,40,4,40,53570.592,32,2.996,10299.696
4,40,4,40,53570.592,64,2.984,21282.497
4,40,4,40,53570.592,128,2.438,36619.814
4,50,4,50,59084.873,2,1.652,1159.163
4,50,4,50,59084.873,4,1.529,2362.995
4,50,4,50,59084.873,8,1.621,4025.554
4,50,4,50,59084.873,16,1.729,8237.741
4,50,4,50,59084.873,32,2.164,14111.779
4,50,4,50,59084.873,64,2.356,26537.928
4,50,4,50,59084.873,128,2.618,36251.398
4,10,6,10,60474.975,2,1.104,1513.661
4,10,6,10,60474.975,4,1.368,2617.274
4,10,6,10,60474.975,8,1.472,5077.064
4,10,6,10,60474.975,16,1.545,9793.748
4,10,6,10,60474.975,32,1.552,19382.123
4,10,6,10,60474.975,64,1.597,37864.211
4,10,6,10,60474.975,128,1.587,57951.246
4,20,6,20,58669.935,2,1.241,1160.476
4,20,6,20,58669.935,4,1.725,2267.078
4,20,6,20,58669.935,8,1.727,4373.366
4,20,6,20,58669.935,16,1.809,7875.686
4,20,6,20,58669.935,32,1.86,15917.679
4,20,6,20,58669.935,64,1.9,30749.947
4,20,6,20,58669.935,128,1.893,47198.103
4,30,6,30,53125.385,2,1.523,1211.552
4,30,6,30,53125.385,4,2.201,1713.807
4,30,6,30,53125.385,8,2.643,2972.646
4,30,6,30,53125.385,16,2.601,5682.446
4,30,6,30,53125.385,32,2.079,13963.225
4,30,6,30,53125.385,64,2.544,24032.842
4,30,6,30,53125.385,128,2.556,36080.316
4,40,6,40,55729.203,2,1.525,1209.578
4,40,6,40,55729.203,4,1.654,2214.7
4,40,6,40,55729.203,8,1.622,3872.132
4,40,6,40,55729.203,16,1.787,7483.162
4,40,6,40,55729.203,32,1.872,14614.468
4,40,6,40,55729.203,64,2.232,26284.115
4,40,6,40,55729.203,128,2.556,36842.13
4,50,6,50,53412.088,2,1.416,1313.151
4,50,6,50,53412.088,4,2.332,1562.703
4,50,6,50,53412.088,8,3.049,2368.309
4,50,6,50,53412.088,16,3.373,4180.049
4,50,6,50,53412.088,32,3.608,8146.063
4,50,6,50,53412.088,64,3.138,17195.723
4,50,6,50,53412.088,128,3.331,25204.217
6,10,6,10,53695.06,2,1.043,1814.212
6,10,6,10,53695.06,4,1.527,2616.151
6,10,6,10,53695.06,8,1.691,4622.55
6,10,6,10,53695.06,16,1.827,8489.515
6,10,6,10,53695.06,32,1.788,17072.194
6,10,6,10,53695.06,64,1.852,34154.016
6,10,6,10,53695.06,128,1.803,52336.926
6,20,6,20,56947.488,2,1.322,1511.786
6,20,6,20,56947.488,4,1.527,2365.233
6,20,6,20,56947.488,8,1.622,3947.072
6,20,6,20,56947.488,16,1.748,8139.656
6,20,6,20,56947.488,32,2.24,13913.76
6,20,6,20,56947.488,64,1.941,31107.74
6,20,6,20,56947.488,128,1.901,45920.08
6,30,6,30,57853.841,2,1.168,1259.83
6,30,6,30,57853.841,4,1.889,1837.833
6,30,6,30,57853.841,8,1.847,3821.451
6,30,6,30,57853.841,16,1.728,7840.173
6,30,6,30,57853.841,32,1.808,15092.467
6,30,6,30,57853.841,64,1.907,28411.13
6,30,6,30,57853.841,128,2.476,37386.208
6,40,6,40,54085.612,2,1.774,1019.633
6,40,6,40,54085.612,4,2.639,1511.846
6,40,6,40,54085.612,8,2.936,2568.79
6,40,6,40,54085.612,16,3.445,4180.861
6,40,6,40,54085.612,32,2.941,9142.387
6,40,6,40,54085.612,64,3.712,15388.625
6,40,6,40,54085.612,128,3.26,25038.371
6,50,6,50,51503.765,2,1.418,1160.137
6,50,6,50,51503.765,4,1.983,1512.708
6,50,6,50,51503.765,8,2.644,2718.32
6,50,6,50,51503.765,16,2.735,4633.209
6,50,6,50,51503.765,32,2.941,8950.636
6,50,6,50,51503.765,64,2.998,17918.53
6,50,6,50,51503.765,128,2.878,27449.673
6,10,8,10,57299.331,2,0.994,1861.212
6,10,8,10,57299.331,4,1.369,2715.909
6,10,8,10,57299.331,8,1.656,4572.689
6,10,8,10,57299.331,16,1.73,8931.317
6,10,8,10,57299.331,32,1.711,18514.263
6,10,8,10,57299.331,64,1.735,36613.27
6,10,8,10,57299.331,128,1.663,56886.579
6,20,8,20,55587.369,2,1.418,1360.051
6,20,8,20,55587.369,4,1.984,1964.166
6,20,8,20,55587.369,8,2.268,3471.047
6,20,8,20,55587.369,16,1.59,8540.078
6,20,8,20,55587.369,32,1.65,16638.233
6,20,8,20,55587.369,64,1.732,32228.44
6,20,8,20,55587.369,128,1.977,47432.033
6,30,8,30,53186.637,2,1.322,1161.314
6,30,8,30,53186.637,4,1.804,2013.757
6,30,8,30,53186.637,8,1.985,3019.589
6,30,8,30,53186.637,16,2.238,5583.051
6,30,8,30,53186.637,32,2.24,10805.049
6,30,8,30,53186.637,64,3.07,17688.077
6,30,8,30,53186.637,128,2.282,40933.438
6,40,8,40,56678.996,2,1.416,1059.852
6,40,8,40,56678.996,4,1.804,2113.562
6,40,8,40,56678.996,8,2.401,3274.157
6,40,8,40,56678.996,16,2.736,5831.97
6,40,8,40,56678.996,32,2.738,11561.586
6,40,8,40,56678.996,64,2.515,24789.738
6,40,8,40,56678.996,128,2.506,37712.446
6,50,8,50,54877.192,2,1.418,1359.567
6,50,8,50,54877.192,4,2.087,1913.199
6,50,8,50,54877.192,8,2.206,3420.311
6,50,8,50,54877.192,16,2.371,6334.217
6,50,8,50,54877.192,32,2.739,11504.128
6,50,8,50,54877.192,64,2.586,24249.263
6,50,8,50,54877.192,128,2.372,39437.11
