memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
2,10,2,10,2,10,66553.805,2,1.408,1317.262
2,10,2,10,2,10,66553.805,4,1.726,1839.586
2,10,2,10,2,10,66553.805,8,2.145,3296.753
2,10,2,10,2,10,66553.805,16,2.565,5569.509
2,10,2,10,2,10,66553.805,32,2.79,11052.478
2,10,2,10,2,10,66553.805,64,2.674,23232.338
2,10,2,10,2,10,66553.805,128,2.594,39785.943
2,10,2,10,2,20,68060.198,2,1.416,1213.514
2,10,2,10,2,20,68060.198,4,1.803,1840.61
2,10,2,10,2,20,68060.198,8,2.036,3295.174
2,10,2,10,2,20,68060.198,16,2.56,5263.584
2,10,2,10,2,20,68060.198,32,2.694,10194.873
2,10,2,10,2,20,68060.198,64,2.536,21474.897
2,10,2,10,2,20,68060.198,128,2.498,36704.799
2,20,2,20,2,20,67239.871,2,1.234,1214.943
2,20,2,20,2,20,67239.871,4,2.085,1788.862
2,20,2,20,2,20,67239.871,8,3.041,2246.919
2,20,2,20,2,20,67239.871,16,3.521,4058.744
2,20,2,20,2,20,67239.871,32,3.967,7948.292
2,20,2,20,2,20,67239.871,64,3.76,16286.708
2,20,2,20,2,20,67239.871,128,3.411,29487.423
2,30,2,30,2,20,82382.259,2,1.646,964.437
2,30,2,30,2,20,82382.259,4,2.469,1243.463
2,30,2,30,2,20,82382.259,8,3.299,2355.824
2,30,2,30,2,20,82382.259,16,3.304,3729.858
2,30,2,30,2,20,82382.259,32,3.781,7103.959
2,30,2,30,2,20,82382.259,64,3.613,13596.806
2,30,2,30,2,20,82382.259,128,3.19,26929.071
2,40,2,30,2,30,69255.412,2,2.187,762.096
2,40,2,30,2,30,69255.412,4,2.632,1164.469
2,40,2,30,2,30,69255.412,8,2.203,2594.382
2,40,2,30,2,30,69255.412,16,2.785,4385.129
2,40,2,30,2,30,69255.412,32,3.917,6801.353
2,40,2,30,2,30,69255.412,64,3.116,14189.578
2,40,2,30,2,30,69255.412,128,3.646,24717.871
4,10,2,10,2,10,77233.471,2,1.24,1461.542
4,10,2,10,2,10,77233.471,4,1.652,2115.185
4,10,2,10,2,10,77233.471,8,1.987,3707.898
4,10,2,10,2,10,77233.471,16,2.239,6560.411
4,10,2,10,2,10,77233.471,32,2.24,13741.604
