memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
2,40,2,40,2,40,75748.546,2,1.8,960.231
2,40,2,40,2,40,75748.546,4,3.59,935.781
2,40,2,40,2,40,75748.546,8,4.162,1667.57
2,40,2,40,2,40,75748.546,16,4.653,3032.372
2,40,2,40,2,40,75748.546,32,5.463,5461.033
2,40,2,40,2,40,75748.546,64,5.465,10569.309
2,40,2,40,2,40,75748.546,128,6.042,16685.338
2,60,2,60,2,60,66364.219,2,1.413,960.967
2,60,2,60,2,60,66364.219,4,2.475,1337.361
2,60,2,60,2,60,66364.219,8,3.29,2132.775
2,60,2,60,2,60,66364.219,16,4.649,3114.443
2,60,2,60,2,60,66364.219,32,5.667,5224.021
2,60,2,60,2,60,66364.219,64,5.811,10443.711
2,60,2,60,2,60,66364.219,128,5.693,17713.833
2,80,2,80,2,80,67231.945,2,1.417,1109.587
2,80,2,80,2,80,67231.945,4,2.202,1512.746
2,80,2,80,2,80,67231.945,8,3.6,1803.872
2,80,2,80,2,80,67231.945,16,5.267,2837.806
2,80,2,80,2,80,67231.945,32,5.652,5285.529
2,80,2,80,2,80,67231.945,64,5.459,10795.538
2,80,2,80,2,80,67231.945,128,4.906,18482.571
2,100,2,100,2,100,69570.958,2,1.234,1165.716
2,100,2,100,2,100,69570.958,4,2.326,1389.312
2,100,2,100,2,100,69570.958,8,3.438,2168.734
2,100,2,100,2,100,69570.958,16,3.771,3563.429
2,100,2,100,2,100,69570.958,32,4.228,6250.481
2,100,2,100,2,100,69570.958,64,4.535,12385.61
2,100,2,100,2,100,69570.958,128,4.063,21853.318
4,40,2,40,2,40,70170.634,2,1.978,960.287
4,40,2,40,2,40,70170.634,4,3.042,1111.517
4,40,2,40,2,40,70170.634,8,3.755,2020.643
4,40,2,40,2,40,70170.634,16,4.281,3269.298
4,40,2,40,2,40,70170.634,32,4.468,6358.111
4,40,2,40,2,40,70170.634,64,4.736,12006.575
4,40,2,40,2,40,70170.634,128,3.764,23196.955
4,60,2,60,2,60,70271.792,2,1.418,1159.178
4,60,2,60,2,60,70271.792,4,2.203,1562.077
4,60,2,60,2,60,70271.792,8,2.404,2769.769
4,60,2,60,2,60,70271.792,16,2.444,4906.328
4,60,2,60,2,60,70271.792,32,2.792,9110.075
4,60,2,60,2,60,70271.792,64,3.058,15177.574
