memory1,compute1,memory2,compute2,memory3,compute3,memory4,compute4,startup_time,load,throughput,latency
2,10,2,10,2,10,2,10,82700.72,2,1.238,1462.496
2,10,2,10,2,10,2,10,82700.72,4,2.632,1316.89
2,10,2,10,2,10,2,10,82700.72,8,3.171,2321.28
2,10,2,10,2,10,2,10,82700.72,16,3.175,4302.662
2,10,2,10,2,10,2,10,82700.72,32,3.528,8621.203
2,10,2,10,2,10,2,10,82700.72,64,3.597,17527.248
2,10,2,10,2,10,2,10,82700.72,128,3.412,36147.18
2,20,2,20,2,10,2,10,83249.322,2,1.794,1015.862
2,20,2,20,2,10,2,10,83249.322,4,2.079,1414.639
2,20,2,20,2,10,2,10,83249.322,8,3.297,2067.623
2,20,2,20,2,10,2,10,83249.322,16,3.172,3877.919
2,20,2,20,2,10,2,10,83249.322,32,3.568,7294.095
2,20,2,20,2,10,2,10,83249.322,64,3.597,14777.469
2,20,2,20,2,10,2,10,83249.322,128,3.324,31906.35
2,20,2,20,2,20,2,20,81694.272,2,1.405,1370.809
2,20,2,20,2,20,2,20,81694.272,4,2.636,1238.88
2,20,2,20,2,20,2,20,81694.272,8,3.442,1818.463
2,20,2,20,2,20,2,20,81694.272,16,4.281,3377.966
2,20,2,20,2,20,2,20,81694.272,32,4.877,6112.8
2,20,2,20,2,20,2,20,81694.272,64,5.079,12364.023
2,20,2,20,2,20,2,20,81694.272,128,4.693,26900.25
2,40,2,20,2,20,2,20,98457.301,2,1.411,1017.211
2,40,2,20,2,20,2,20,98457.301,4,3.27,1064.24
2,40,2,20,2,20,2,20,98457.301,8,3.445,1894.024
2,40,2,20,2,20,2,20,98457.301,16,4.798,2999.97
2,40,2,20,2,20,2,20,98457.301,32,4.806,5862.507
2,40,2,20,2,20,2,20,98457.301,64,4.811,11930.631
2,40,2,20,2,20,2,20,98457.301,128,4.59,25229.063
4,10,2,10,2,10,2,10,91491.703,2,1.324,1310.926
4,10,2,10,2,10,2,10,91491.703,4,2.083,1490.197
4,10,2,10,2,10,2,10,91491.703,8,2.557,2821.019
4,10,2,10,2,10,2,10,91491.703,16,3.053,4879.101
4,10,2,10,2,10,2,10,91491.703,32,3.312,9121.092
4,10,2,10,2,10,2,10,91491.703,64,3.246,19496.002
4,10,2,10,2,10,2,10,91491.703,128,3.068,39846.082
4,20,2,20,2,10,2,10,89771.26,2,1.316,1165.424
4,20,2,20,2,10,2,10,89771.26,4,1.975,1489.38
4,20,2,20,2,10,2,10,89771.26,8,2.736,2494.285
4,20,2,20,2,10,2,10,89771.26,16,3.303,4153.603
4,20,2,20,2,10,2,10,89771.26,32,3.277,7892.434
4,20,2,20,2,10,2,10,89771.26,64,3.15,16374.492
4,20,2,20,2,10,2,10,89771.26,128,3.033,34026.845
4,20,2,20,2,20,2,20,100391.751,2,1.786,1115.918
4,20,2,20,2,20,2,20,100391.751,4,2.824,1163.253
4,20,2,20,2,20,2,20,100391.751,8,4.161,1693.226
4,20,2,20,2,20,2,20,100391.751,16,4.06,3353.205
4,20,2,20,2,20,2,20,100391.751,32,4.535,6628.174
4,20,2,20,2,20,2,20,100391.751,64,4.637,12396.3
4,20,2,20,2,20,2,20,100391.751,128,4.055,30489.929
4,40,2,20,2,20,2,20,91776.496,2,1.416,1209.875
4,40,2,20,2,20,2,20,91776.496,4,2.832,1139.422
4,40,2,20,2,20,2,20,91776.496,8,3.596,1817.602
4,40,2,20,2,20,2,20,91776.496,16,4.281,3350.989
4,40,2,20,2,20,2,20,91776.496,32,4.285,5917.944
4,40,2,20,2,20,2,20,91776.496,64,4.359,11884.075
4,40,2,20,2,20,2,20,91776.496,128,4.079,25659.814
4,10,4,10,2,10,2,10,93425.926,2,1.516,1215.009
4,10,4,10,2,10,2,10,93425.926,4,2.33,1491.775
4,10,4,10,2,10,2,10,93425.926,8,2.647,2593.454
4,10,4,10,2,10,2,10,93425.926,16,2.994,5132.057
4,10,4,10,2,10,2,10,93425.926,32,3.381,9269.888
4,10,4,10,2,10,2,10,93425.926,64,3.166,19631.571
4,10,4,10,2,10,2,10,93425.926,128,3.098,40560.078
4,20,4,20,2,10,2,10,92586.586,2,1.647,1161.15
4,20,4,20,2,10,2,10,92586.586,4,2.196,1338.377
4,20,4,20,2,10,2,10,92586.586,8,2.645,2506.153
4,20,4,20,2,10,2,10,92586.586,16,3.448,4026.535
4,20,4,20,2,10,2,10,92586.586,32,3.454,7811.956
4,20,4,20,2,10,2,10,92586.586,64,3.312,16005.062
4,20,4,20,2,10,2,10,92586.586,128,3.182,33421.568
4,20,4,20,2,20,2,20,82152.087,2,1.416,1160.111
4,20,4,20,2,20,2,20,82152.087,4,2.477,1241.018
4,20,4,20,2,20,2,20,82152.087,8,3.442,2093.731
4,20,4,20,2,20,2,20,82152.087,16,3.864,3577.192
4,20,4,20,2,20,2,20,82152.087,32,4.282,6473.84
4,20,4,20,2,20,2,20,82152.087,64,4.443,12938.328
4,20,4,20,2,20,2,20,82152.087,128,4.129,30027.306
4,40,4,20,2,20,2,20,95537.354,2,1.415,1211.596
4,40,4,20,2,20,2,20,95537.354,4,2.475,1164.736
4,40,4,20,2,20,2,20,95537.354,8,3.299,1943.1
4,40,4,20,2,20,2,20,95537.354,16,4.17,3653.451
4,40,4,20,2,20,2,20,95537.354,32,4.875,6191.485
4,40,4,20,2,20,2,20,95537.354,64,4.775,12315.384
4,40,4,20,2,20,2,20,95537.354,128,4.255,27433.185
4,10,4,10,4,10,2,10,89535.691,2,1.041,1767.283
4,10,4,10,4,10,2,10,89535.691,4,2.639,1288.006
4,10,4,10,4,10,2,10,89535.691,8,2.646,2570.509
4,10,4,10,4,10,2,10,89535.691,16,2.992,5057.714
4,10,4,10,4,10,2,10,89535.691,32,3.416,9245.518
4,10,4,10,4,10,2,10,89535.691,64,3.119,19889.382
4,10,4,10,4,10,2,10,89535.691,128,2.856,41283.109
4,20,4,20,4,10,2,10,10395578.697,2,1.416,1409.806
4,20,4,20,4,10,2,10,10395578.697,4,2.09,1411.561
4,20,4,20,4,10,2,10,10395578.697,8,3.175,2143.45
4,20,4,20,4,10,2,10,10395578.697,16,3.524,3975.461
4,20,4,20,4,10,2,10,10395578.697,32,3.694,7202.844
4,20,4,20,4,10,2,10,10395578.697,64,3.739,14348.194
4,20,4,20,4,10,2,10,10395578.697,128,3.605,29021.536
4,20,4,20,4,20,2,20,93231.134,2,1.314,1520.018
4,20,4,20,4,20,2,20,93231.134,4,3.292,1138.593
4,20,4,20,4,20,2,20,93231.134,8,4.159,1842.476
4,20,4,20,4,20,2,20,93231.134,16,4.793,3227.198
4,20,4,20,4,20,2,20,93231.134,32,5.191,6064.604
4,20,4,20,4,20,2,20,93231.134,64,5.244,11973.625
4,20,4,20,4,20,2,20,93231.134,128,5.187,24489.011
4,40,4,20,4,20,2,20,83096.161,2,2.464,760.814
4,40,4,20,4,20,2,20,83096.161,4,2.461,1138.598
4,40,4,20,4,20,2,20,83096.161,8,3.447,1993.312
4,40,4,20,4,20,2,20,83096.161,16,4.162,3253.953
4,40,4,20,4,20,2,20,83096.161,32,4.734,5770.928
4,40,4,20,4,20,2,20,83096.161,64,5.077,11036.062
4,40,4,20,4,20,2,20,83096.161,128,4.869,22991.216
