memory1,compute1,memory2,compute2,memory3,compute3,memory4,compute4,startup_time,load,throughput,latency
2,30,2,30,2,30,2,30,85209.743,2,1.412,1063.223
2,30,2,30,2,30,2,30,85209.743,4,3.295,1086.038
2,30,2,30,2,30,2,30,85209.743,8,5.232,1316.258
2,30,2,30,2,30,2,30,85209.743,16,5.641,2400.235
2,30,2,30,2,30,2,30,85209.743,32,6.458,4699.017
2,30,2,30,2,30,2,30,85209.743,64,6.884,8934.217
2,30,2,30,2,30,2,30,85209.743,128,6.82,17753.892
2,50,2,50,2,50,2,50,89390.549,2,1.523,1011.634
2,50,2,50,2,50,2,50,89390.549,4,3.046,1136.982
2,50,2,50,2,50,2,50,89390.549,8,5.254,1341.795
2,50,2,50,2,50,2,50,89390.549,16,5.27,2474.249
2,50,2,50,2,50,2,50,89390.549,32,6.325,4887.307
2,50,2,50,2,50,2,50,89390.549,64,6.403,9513.963
2,50,2,50,2,50,2,50,89390.549,128,6.408,19523.319
2,75,2,75,2,75,2,75,88590.887,2,2.805,661.326
2,75,2,75,2,75,2,75,88590.887,4,2.829,986.956
2,75,2,75,2,75,2,75,88590.887,8,3.957,1792.325
2,75,2,75,2,75,2,75,88590.887,16,5.446,2601.489
2,75,2,75,2,75,2,75,88590.887,32,5.861,4887.753
2,75,2,75,2,75,2,75,88590.887,64,6.401,9410.501
2,75,2,75,2,75,2,75,88590.887,128,5.905,19404.763
2,100,2,100,2,100,2,100,86786.395,2,1.168,1311.695
2,100,2,100,2,100,2,100,86786.395,4,3.045,912.528
2,100,2,100,2,100,2,100,86786.395,8,4.156,1742.724
2,100,2,100,2,100,2,100,86786.395,16,4.402,2748.829
2,100,2,100,2,100,2,100,86786.395,32,4.958,5314.7
2,100,2,100,2,100,2,100,86786.395,64,5.881,10045.24
2,100,2,100,2,100,2,100,86786.395,128,5.063,21159.944
4,30,2,30,2,30,2,30,87301.414,2,1.524,1309.914
4,30,2,30,2,30,2,30,87301.414,4,2.825,1062.937
4,30,2,30,2,30,2,30,87301.414,8,3.6,1816.235
4,30,2,30,2,30,2,30,87301.414,16,4.283,2705.259
4,30,2,30,2,30,2,30,87301.414,32,4.345,5663.645
4,30,2,30,2,30,2,30,87301.414,64,4.323,10860.329
4,30,2,30,2,30,2,30,87301.414,128,4.226,20920.577
4,50,2,50,2,50,2,50,88826.561,2,1.649,1162.243
4,50,2,50,2,50,2,50,88826.561,4,3.293,1036.111
4,50,2,50,2,50,2,50,88826.561,8,4.166,1490.372
4,50,2,50,2,50,2,50,88826.561,16,4.397,3175.791
4,50,2,50,2,50,2,50,88826.561,32,5.113,5609.897
4,50,2,50,2,50,2,50,88826.561,64,5.33,10684.234
4,50,2,50,2,50,2,50,88826.561,128,5.081,22801.716
4,75,2,75,2,75,2,75,96565.717,2,1.414,1212.312
4,75,2,75,2,75,2,75,96565.717,4,3.593,937.975
4,75,2,75,2,75,2,75,96565.717,8,4.158,1704.191
4,75,2,75,2,75,2,75,96565.717,16,5.644,2624.598
4,75,2,75,2,75,2,75,96565.717,32,5.456,5295.769
4,75,2,75,2,75,2,75,96565.717,64,4.505,11418.49
4,75,2,75,2,75,2,75,96565.717,128,4.775,22558.837
4,30,4,30,2,30,2,30,98474.583,2,1.8,860.417
4,30,4,30,2,30,2,30,98474.583,4,2.476,1313.202
4,30,4,30,2,30,2,30,98474.583,8,3.955,1542.53
4,30,4,30,2,30,2,30,98474.583,16,4.281,3075.28
4,30,4,30,2,30,2,30,98474.583,32,4.733,5914.803
4,30,4,30,2,30,2,30,98474.583,64,4.962,11392.778
4,30,4,30,2,30,2,30,98474.583,128,4.492,24659.686
4,50,4,50,2,50,2,50,94653.835,2,1.649,860.87
4,50,4,50,2,50,2,50,94653.835,4,3.04,1186.934
4,50,4,50,2,50,2,50,94653.835,8,4.934,1464.969
4,50,4,50,2,50,2,50,94653.835,16,5.107,2798.62
4,50,4,50,2,50,2,50,94653.835,32,5.972,5162.025
4,50,4,50,2,50,2,50,94653.835,64,6.215,9882.458
4,50,4,50,2,50,2,50,94653.835,128,5.849,20925.774
4,75,4,75,2,75,2,75,111570.666,2,1.415,1010.249
4,75,4,75,2,75,2,75,111570.666,4,3.294,1037.095
4,75,4,75,2,75,2,75,111570.666,8,3.571,1555.031
4,75,4,75,2,75,2,75,111570.666,16,5.105,2825.86
4,75,4,75,2,75,2,75,111570.666,32,5.667,5267.354
4,75,4,75,2,75,2,75,111570.666,64,5.2,11015.034
4,75,4,75,2,75,2,75,111570.666,128,4.194,25039.645
4,100,4,100,2,100,2,100,93179.87,2,1.415,1061.592
4,100,4,100,2,100,2,100,93179.87,4,3.039,1187.009
4,100,4,100,2,100,2,100,93179.87,8,3.304,1640.554
4,100,4,100,2,100,2,100,93179.87,16,3.449,3203.364
4,100,4,100,2,100,2,100,93179.87,32,3.922,5900.06
4,100,4,100,2,100,2,100,93179.87,64,5.0,10486.739
4,100,4,100,2,100,2,100,93179.87,128,3.888,24152.029
4,30,4,30,4,30,2,30,90341.162,2,1.65,860.145
4,30,4,30,4,30,2,30,90341.162,4,2.639,1088.024
4,30,4,30,4,30,2,30,90341.162,8,3.443,1944.056
4,30,4,30,4,30,2,30,90341.162,16,4.063,3126.789
4,30,4,30,4,30,2,30,90341.162,32,3.739,6180.451
